symbol,name,market,price,market_cap,listed_shares,per,pbr,eps,bps,volume,trading_value
053270,구영테크,KOSDAQ,2240.0,614.0,27410405.0,2.72,0.4,823.0,5617.0,340402.0,772746505.0
053280,예스이십사,KOSDAQ,3220.0,805.0,25000000.0,-7.8,0.47,-413.0,6912.0,131758.0,425329325.0
053290,엔이능률,KOSDAQ,1887.0,312.0,16526307.0,-6.19,0.39,-305.0,4858.0,57182.0,108941968.0
053300,한국정보인증,KOSDAQ,6040.0,2563.0,42441361.0,9.79,1.18,617.0,5107.0,380867.0,2341574925.0
053350,이니텍,KOSDAQ,2770.0,610.0,22021065.0,19.93,0.4,139.0,6900.0,115363.0,321935095.0
053450,세코닉스,KOSDAQ,5190.0,768.0,14792803.0,16.07,0.54,323.0,9657.0,203911.0,1076631885.0
053580,웹케시,KOSDAQ,8240.0,1067.0,12954436.0,15.7,1.03,525.0,8028.0,77015.0,635287470.0
053610,프로텍,KOSDAQ,86600.0,9526.0,11000000.0,20.0,2.24,4331.0,38739.0,96434.0,8315130750.0
053620,태양,KOSDAQ,7100.0,611.0,8600000.0,5.15,0.29,1378.0,24397.0,7963.0,56974880.0
053700,삼보모터스,KOSDAQ,5520.0,1404.0,25443768.0,6.23,0.3,886.0,18124.0,555334.0,3128974950.0
053800,안랩,KOSDAQ,64500.0,7177.0,11126506.0,13.22,1.55,4878.0,41556.0,65814.0,4251170150.0
053950,경남제약,KOSDAQ,2990.0,467.0,15629471.0,3.0,0.41,998.0,7372.0,217020.0,626180581.0
053980,오상자이엘,KOSDAQ,3075.0,584.0,18982783.0,5.63,0.53,546.0,5750.0,121210.0,372611344.0
054040,한국컴퓨터,KOSDAQ,5500.0,884.0,16071290.0,4.3,0.44,1279.0,12463.0,92011.0,507688250.0
054050,농업회사법인 엔에이치농우바이오,KOSDAQ,7610.0,1220.0,16030561.0,9.92,0.44,767.0,17324.0,70305.0,536241945.0
054090,삼진엘앤디,KOSDAQ,1101.0,275.0,24959232.0,-2.89,0.72,-381.0,1521.0,385270.0,425299159.0
054180,메디콕스,KOSDAQ,2295.0,127.0,5527981.0,-1.04,0.27,-2208.0,8537.0,0.0,0.0
054210,이랜텍,KOSDAQ,11710.0,2962.0,25291210.0,12.78,1.09,916.0,10776.0,350400.0,4141273615.0
