종목코드,종목명,종가,대비,등락률,상장시가총액,지수명
238200,비피도,2835,-5,-0.18,23190.0,KRX TMI
238490,힘스,3495,-85,-2.37,39536.0,KRX TMI
239340,이스트에이드,1448,-18,-1.23,39067.0,KRX TMI
239610,에이치엘사이언스,8850,-80,-0.9,47720.0,KRX TMI
239890,피엔에이치테크,6150,-40,-0.65,61105.0,KRX TMI
240550,동방메디컬,6900,-90,-1.29,144444.0,KRX TMI
240600,유진테크놀로지,3660,-340,-8.5,25357.0,KRX TMI
241690,유니테크노,4015,150,3.88,98250.0,KRX TMI
241790,티이엠씨씨엔에스,8530,210,2.52,85322.0,KRX TMI
241840,에이스토리,5090,-170,-3.23,48559.0,KRX TMI
242040,나무기술,5000,-150,-2.91,173031.0,KRX TMI
246690,TS인베스트먼트,1865,80,4.48,87600.0,KRX TMI
246710,티앤알바이오팹,2920,-40,-1.35,139180.0,KRX TMI
246720,아스타,6070,0,0.0,99434.0,KRX TMI
246960,SCL사이언스,1993,-47,-2.3,67796.0,KRX TMI
247660,나노씨엠에스,4840,-75,-1.53,21025.0,KRX TMI
250000,보라티알,7730,-20,-0.26,52183.0,KRX TMI
250060,모비스,4820,205,4.44,155066.0,KRX TMI
250930,예선테크,480,13,2.78,15840.0,KRX TMI
251120,바이오에프디엔씨,13810,-500,-3.49,120088.0,KRX TMI
251630,브이원텍,6240,20,0.32,99484.0,KRX TMI
252500,세화피앤씨,829,-6,-0.72,34392.0,KRX TMI
253840,수젠텍,5530,-50,-0.9,92590.0,KRX TMI
254120,자비스,1410,-73,-4.92,43364.0,KRX TMI
255220,SG,2590,-55,-2.08,283769.0,KRX TMI
255440,야스,11680,830,7.65,152517.0,KRX TMI
256150,한독크린텍,5440,-10,-0.18,45669.0,KRX TMI
256630,포인트엔지니어링,1175,0,0.0,68147.0,KRX TMI
256840,한국비엔씨,4025,45,1.13,275289.0,KRX TMI
256940,킵스파마,7990,-250,-3.03,160424.0,KRX TMI
257370,피엔티엠에스,3170,-25,-0.78,39640.0,KRX TMI
258610,케일럼,1315,-78,-5.6,47978.0,KRX TMI
258790,소프트캠프,1718,0,0.0,42935.0,KRX TMI
259630,엠플러스,18060,510,2.91,218703.0,KRX TMI
260660,알리코제약,3510,-110,-3.04,53798.0,KRX TMI
260930,씨티케이,3880,-80,-2.02,75045.0,KRX TMI
260970,에스앤디,57600,2400,4.35,166623.0,KRX TMI
261200,덴티스,3850,-120,-3.02,60867.0,KRX TMI
261780,차백신연구소,3355,-745,-18.17,90293.0,KRX TMI
262260,에이프로,10990,2360,27.35,159005.0,KRX TMI
262840,아이퀘스트,1780,0,0.0,37618.0,KRX TMI
263020,디케이앤디,3635,-135,-3.58,50294.0,KRX TMI
263050,유틸렉스,959,0,0.0,35325.0,KRX TMI
263600,덕우전자,6250,-210,-3.25,99564.0,KRX TMI
263690,디알젬,5770,10,0.17,65349.0,KRX TMI
263700,케어랩스,2620,-25,-0.95,50865.0,KRX TMI
263720,디앤씨미디어,12120,-140,-1.14,150441.0,KRX TMI
263770,유에스티,2120,5,0.24,50244.0,KRX TMI
263800,데이타솔루션,5410,40,0.74,87779.0,KRX TMI
263810,상신전자,3115,-80,-2.5,49606.0,KRX TMI
263860,지니언스,16020,490,3.16,145455.0,KRX TMI
263920,휴엠앤씨,3880,-15,-0.39,38059.0,KRX TMI
264450,유비쿼스,15600,700,4.7,228782.0,KRX TMI
264660,씨앤지하이테크,22600,100,0.44,219698.0,KRX TMI
264850,이랜시스,6440,120,1.9,195097.0,KRX TMI
265560,영화테크,10660,-150,-1.39,113957.0,KRX TMI
265740,엔에프씨,7430,290,4.06,132727.0,KRX TMI
267320,나인테크,3500,20,0.57,200954.0,KRX TMI
267790,배럴,3495,-25,-0.71,26874.0,KRX TMI
267980,매일유업,36400,100,0.28,278956.0,KRX TMI
270520,앱튼,228,0,0.0,44822.0,KRX TMI
270660,에브리봇,19140,-20,-0.1,242898.0,KRX TMI
270870,뉴트리,4300,-70,-1.6,39561.0,KRX TMI
271830,팸텍,1621,51,3.25,47804.0,KRX TMI
273060,와이즈버즈,1076,6,0.56,54295.0,KRX TMI
273640,와이엠텍,12250,0,0.0,134334.0,KRX TMI
274090,켄코아에어로스페이스,21950,300,1.39,301224.0,KRX TMI
274400,이노시뮬레이션,3985,-75,-1.85,36210.0,KRX TMI
275630,에스에스알,4105,-65,-1.56,21567.0,KRX TMI
276040,스코넥,327,0,0.0,7073.0,KRX TMI
276730,한울앤제주,767,0,0.0,16989.0,KRX TMI
277070,린드먼아시아,4255,-25,-0.58,58259.0,KRX TMI
277410,인산가,1105,-29,-2.56,42445.0,KRX TMI
277880,티에스아이,5750,130,2.31,114098.0,KRX TMI
278650,HLB바이오스텝,1272,0,0.0,110870.0,KRX TMI
279600,미디어젠,5760,-70,-1.2,26984.0,KRX TMI
282720,금양그린파워,16420,320,1.99,199002.0,KRX TMI
282880,코윈테크,17730,750,4.42,207336.0,KRX TMI
285490,노바텍,24000,600,2.56,253820.0,KRX TMI
285800,진영,2120,-125,-5.57,37052.0,KRX TMI
286750,나노실리칸첨단소재,1611,22,1.38,51598.0,KRX TMI
288620,에스프리즘,10280,-490,-4.55,71747.0,KRX TMI
288980,모아데이타,1210,-156,-11.42,44021.0,KRX TMI
289010,아이스크림에듀,1608,33,2.1,22424.0,KRX TMI
